API,Series,Date,Value
INTL.57-1-MEX-TBPD.M,453.0,1976-06-01,852.0
INTL.57-1-USA-TBPD.M,9175.935,1976-06-01,8094.433
INTL.57-1-WORL-TBPD.M,54389.0,1976-07-01,57293.0
INTL.57-1-MEX-TBPD.M,453.0,1976-07-01,857.0
INTL.57-1-USA-TBPD.M,9175.935,1976-07-01,8127.161
INTL.57-1-WORL-TBPD.M,54389.0,1976-08-01,57699.0
INTL.57-1-MEX-TBPD.M,453.0,1976-08-01,857.0
INTL.57-1-USA-TBPD.M,9175.935,1976-08-01,8110.613
INTL.57-1-WORL-TBPD.M,54389.0,1976-09-01,58596.0
INTL.57-1-MEX-TBPD.M,453.0,1976-09-01,857.0
INTL.57-1-USA-TBPD.M,9175.935,1976-09-01,8149.633
INTL.57-1-WORL-TBPD.M,54389.0,1976-10-01,60391.0
INTL.57-1-MEX-TBPD.M,453.0,1976-10-01,878.0
INTL.57-1-USA-TBPD.M,9175.935,1976-10-01,8063.29
INTL.57-1-WORL-TBPD.M,54389.0,1976-11-01,60955.0
INTL.57-1-MEX-TBPD.M,453.0,1976-11-01,878.0
INTL.57-1-USA-TBPD.M,9175.935,1976-11-01,8079.6
INTL.57-1-WORL-TBPD.M,54389.0,1976-12-01,62462.0
INTL.57-1-MEX-TBPD.M,453.0,1976-12-01,878.0
INTL.57-1-USA-TBPD.M,9175.935,1976-12-01,8060.613
INTL.57-1-WORL-TBPD.M,54389.0,1977-01-01,56833.0
INTL.57-1-MEX-TBPD.M,453.0,1977-01-01,886.0
INTL.57-1-USA-TBPD.M,9175.935,1977-01-01,7854.129
INTL.57-1-WORL-TBPD.M,54389.0,1977-02-01,60649.0
INTL.57-1-MEX-TBPD.M,453.0,1977-02-01,935.0
INTL.57-1-USA-TBPD.M,9175.935,1977-02-01,8138.929
INTL.57-1-WORL-TBPD.M,54389.0,1977-03-01,61144.0
INTL.57-1-MEX-TBPD.M,453.0,1977-03-01,935.0
INTL.57-1-USA-TBPD.M,9175.935,1977-03-01,8089.613
